index,question,table,Sentence,question_index
2532,What is the newest church in the table?,"Municipality,Parish (sokn),Church,Location,Year built,Photo
Trondheim,Nidaros Domkirke og Vår Frue,Nidaros Cathedral,Trondheim,1070–1300,-
Trondheim,Nidaros Domkirke og Vår Frue,Vår Frue Church,1200,Vaar Frue church Trondheim 2009.JPG,-
Trondheim,Bakklandet,Bakke Church,1715,-,-
Trondheim,Lade,Lade Church,Lade,1190,-
Trondheim,Lademoen,Lademoen Church,Lademoen,1905,Lademoen Church Trondheim 2009 1.JPG","The newest church in the table is Lademoen Church, which was built in 1905.",1110
2533,How many elections are listed in the table?,"Election,Constituency,Party,Votes,Result
2001 parliamentary,Jaffna District,TNA,""29,641"",Elected
2004 parliamentary,Jaffna District,TNA,""60,770"",Elected
2010 parliamentary,Jaffna District,TNPF,-,Not elected
2015 parliamentary,Jaffna District,TNPF,-,Not elected",There are 4 elections listed in the table.,1111
2534,What was the date of the transfer for Matteo Sereni?,"#,Name,Fee,Paid to,Date,Notes
1,Italy Matteo Sereni,£4.8m,Italy Sampdoria,17 August 2001,-
2,Iceland Hermann Hreiðarsson,£4.5m,England Wimbledon,18 August 2000,-
3,Nigeria Finidi George,£3.1m,Spain Real Mallorca,16 August 2001,-
4,England Marcus Bent,£3m,England Blackburn Rovers,23 November 2001,-
5,England Marcus Stewart,£2.75m,England Huddersfield Town,1 February 2000,-",The date of the transfer for Matteo Sereni was 17 August 2001.,1112
2535,How many points did Port Adelaide score in total?,"1965 SANFL Grand Final Fos Williams ninth premiership.,G,B,Total,-
Port Adelaide,12,8,80,-
Sturt,12,5,77,-
Venue: Adelaide Oval,""Crowd: 62,543"",""Crowd: 62,543"",""Crowd: 62,543"",-","To calculate the total points scored by Port Adelaide, we add the number of goals and behinds together.",1113
2536,How many points did Port Adelaide score in total?,"1965 SANFL Grand Final Fos Williams ninth premiership.,G,B,Total,-
Port Adelaide,12,8,80,-
Sturt,12,5,77,-
Venue: Adelaide Oval,""Crowd: 62,543"",""Crowd: 62,543"",""Crowd: 62,543"",-",Port Adelaide scored 12 goals and 8 behinds.,1113
2537,How many points did Port Adelaide score in total?,"1965 SANFL Grand Final Fos Williams ninth premiership.,G,B,Total,-
Port Adelaide,12,8,80,-
Sturt,12,5,77,-
Venue: Adelaide Oval,""Crowd: 62,543"",""Crowd: 62,543"",""Crowd: 62,543"",-","To find the total points, we use the following calculation:
Total Points = (Number of Goals * 6) + (Number of Behinds * 1)

Total Points = (12 * 6) + (8 * 1) = 72 + 8 = 80

Therefore, Port Adelaide scored a total of 80 points in the 1965 SANFL Grand Final.",1113
2538,Are there any helicopters owned by MAA in the table?,"-,Registration,Aircraft,Callsign,Owner
RAF Cosford,G-RMAA,Airbus Helicopter H145,Helimed 03,MAA
Strensham Services,G-HWAA,Eurocopter EC135,Helimed 06,Babcock
Tatenhill Airfield,G-OMAA,Eurocopter EC135,Helimed 09,MAA","Yes, there are two helicopters in the table that are owned by MAA (Midlands Air Ambulance).",1114
2539,Are there any helicopters owned by MAA in the table?,"-,Registration,Aircraft,Callsign,Owner
RAF Cosford,G-RMAA,Airbus Helicopter H145,Helimed 03,MAA
Strensham Services,G-HWAA,Eurocopter EC135,Helimed 06,Babcock
Tatenhill Airfield,G-OMAA,Eurocopter EC135,Helimed 09,MAA","The helicopters with the registrations G-RMAA and G-OMAA are both owned by MAA, as indicated in the ""Owner"" column of the table.",1114
2540,What is the 2-hour glucose range for the normal condition?,"Condition,2-hour glucose,Fasting glucose,HbA1c,HbA1c
Unit,mmol/l(mg/dl),mmol/l(mg/dl),mmol/mol,DCCT %
Normal,<7.8 (<140),<6.1 (<110),<42,<6.0
Impaired fasting glycaemia,<7.8 (<140),≥6.1(≥110) & <7.0(<126),42-46,6.0–6.4
Impaired glucose tolerance,≥7.8 (≥140),<7.0 (<126),42-46,6.0–6.4
Diabetes mellitus,≥11.1 (≥200),≥7.0 (≥126),≥48,≥6.5",The 2-hour glucose range for the normal condition is less than 7.8 mmol/l (less than 140 mg/dl).,1115
2541,What is the highest CR number in the table?,"CR nos.,Quantity,LMS nos.,BR nos. (Note 1)
294-324,31,17650-17680,57650-57680
280-281,2,17681-17682,57681-57682
670-679,10,17683-17692,57683-57692","To find the highest CR number in the table, we need to look at the CR nos. column and identify the largest number listed.",1116
2542,What is the highest CR number in the table?,"CR nos.,Quantity,LMS nos.,BR nos. (Note 1)
294-324,31,17650-17680,57650-57680
280-281,2,17681-17682,57681-57682
670-679,10,17683-17692,57683-57692","Looking at the CR nos. column, we can see that the numbers listed are: 
294-324
280-281
670-679

To determine the highest CR number, we need to identify the highest number within each range.",1116
2543,What is the highest CR number in the table?,"CR nos.,Quantity,LMS nos.,BR nos. (Note 1)
294-324,31,17650-17680,57650-57680
280-281,2,17681-17682,57681-57682
670-679,10,17683-17692,57683-57692",The highest number within the range 294-324 is 324.,1116
2544,What is the highest CR number in the table?,"CR nos.,Quantity,LMS nos.,BR nos. (Note 1)
294-324,31,17650-17680,57650-57680
280-281,2,17681-17682,57681-57682
670-679,10,17683-17692,57683-57692",The highest number within the range 280-281 is 281.,1116
2545,What is the highest CR number in the table?,"CR nos.,Quantity,LMS nos.,BR nos. (Note 1)
294-324,31,17650-17680,57650-57680
280-281,2,17681-17682,57681-57682
670-679,10,17683-17692,57683-57692",The highest number within the range 670-679 is 679.,1116
2546,What is the highest CR number in the table?,"CR nos.,Quantity,LMS nos.,BR nos. (Note 1)
294-324,31,17650-17680,57650-57680
280-281,2,17681-17682,57681-57682
670-679,10,17683-17692,57683-57692","Comparing these highest numbers, we can see that 679 is the highest CR number in the table.",1116
2547,What is the highest CR number in the table?,"CR nos.,Quantity,LMS nos.,BR nos. (Note 1)
294-324,31,17650-17680,57650-57680
280-281,2,17681-17682,57681-57682
670-679,10,17683-17692,57683-57692","Therefore, the highest CR number in the table is 679.",1116
2548,In which competition did Michael Fietz finish 19th in the Marathon event?,"Year,Competition,Venue,Position,Event,Notes
Representing Germany,Representing Germany,Representing Germany,Representing Germany,Representing Germany,Representing Germany
1997,Frankfurt Marathon,""Frankfurt, Germany"",1st,Marathon,2:10:59
1998,European Championships,""Budapest, Hungary"",19th,Marathon,2:15:53
2000,Rotterdam Marathon,""Rotterdam, Netherlands"",12th,Marathon,2:11:28
2000,Olympic Games,""Sydney, Australia"",37th,Marathon,2:20:09",Michael Fietz finished 19th in the Marathon event at the European Championships competition.,1117
2549,What was the date and location of the last show of The Nordic Principle Tour?,"Date,City,Country,Venue,Opening act
28 February 2017,Helsinki,Finland,Tavastia Club,Crimson Sun
1 March 2017,Stockholm,Sweden,Debaser Strand,Skálmöld
3 March 2017,Copenhagen,Denmark,Amager Bio,Skálmöld
4 March 2017,Oslo,Norway,Vulkan Arena,Skálmöld
5 March 2017,Malmö,Sweden,KB,Skálmöld","According to the table, the last show of The Nordic Principle Tour was on March 5, 2017, in Malmö, Sweden.",1118
2550,What is the total number of passengers on the Airbus A319-100 for both routes combined?,"Aircraft,Passengers,Passengers,Passengers,Routes,Notes
Aircraft,F,Y,Total,Routes,Notes
Embraer 175,12,64,76,Washington – New York,Operated by Republic Airline
Airbus A319-100,8,120,128,Washington – Boston New York – Boston,-
Embraer 190,11,88,99,Washington – New York New York – Boston,-
Boeing 737-800,16,144,160,Chicago – New York,-","To find the total number of passengers on the Airbus A319-100 for both routes combined, we need to consider both the first class (F) and economy class (Y) passengers.",1119
2551,What is the total number of passengers on the Airbus A319-100 for both routes combined?,"Aircraft,Passengers,Passengers,Passengers,Routes,Notes
Aircraft,F,Y,Total,Routes,Notes
Embraer 175,12,64,76,Washington – New York,Operated by Republic Airline
Airbus A319-100,8,120,128,Washington – Boston New York – Boston,-
Embraer 190,11,88,99,Washington – New York New York – Boston,-
Boeing 737-800,16,144,160,Chicago – New York,-","From the table, we can see that the Airbus A319-100 has 8 first class passengers and 120 economy class passengers.",1119
2552,What is the total number of passengers on the Airbus A319-100 for both routes combined?,"Aircraft,Passengers,Passengers,Passengers,Routes,Notes
Aircraft,F,Y,Total,Routes,Notes
Embraer 175,12,64,76,Washington – New York,Operated by Republic Airline
Airbus A319-100,8,120,128,Washington – Boston New York – Boston,-
Embraer 190,11,88,99,Washington – New York New York – Boston,-
Boeing 737-800,16,144,160,Chicago – New York,-","To find the total number of passengers, we simply add these two numbers together:

Total passengers = First class passengers + Economy class passengers
               = 8 + 120
               = 128

Therefore, the total number of passengers on the Airbus A319-100 for both routes combined is 128.",1119
2553,How many ballets were choreographed by George Balanchine?,"title,choreographer,composer,company,venue or presentation,date
Les Masques,Frederick Ashton,Francis Poulenc,-,-,March 5
The Seven Deadly Sins,George Balanchine,Kurt Weill,commission from Boris Kochno and Edward James,Théâtre des Champs-Élysées,June 7
Mozartiana,George Balanchine,Pyotr Ilyich Tchaikovsky,Les Ballets 1933,Théâtre des Champs-Élysées,June 7
Les Rendezvous,Frederick Ashton,Daniel Auber,Vic-Wells Ballet,Sadler's Wells Theatre,December 5","Based on the information provided in the table, two ballets were choreographed by George Balanchine in the year 1933.",1120
2554,How many ballets were choreographed by George Balanchine?,"title,choreographer,composer,company,venue or presentation,date
Les Masques,Frederick Ashton,Francis Poulenc,-,-,March 5
The Seven Deadly Sins,George Balanchine,Kurt Weill,commission from Boris Kochno and Edward James,Théâtre des Champs-Élysées,June 7
Mozartiana,George Balanchine,Pyotr Ilyich Tchaikovsky,Les Ballets 1933,Théâtre des Champs-Élysées,June 7
Les Rendezvous,Frederick Ashton,Daniel Auber,Vic-Wells Ballet,Sadler's Wells Theatre,December 5","The ballets choreographed by George Balanchine are ""The Seven Deadly Sins"" and ""Mozartiana."" Therefore, the answer to the question is that George Balanchine choreographed two ballets in 1933.",1120
2555,What was the viewership in millions for season 2?,"Season,Episodes,Original air dates,Original air dates,TV season,Nielsen ratings,Nielsen ratings,Nielsen ratings
Season,Episodes,Season premiere,Season finale,TV season,Rank,Rating,Viewers (millions)
1,30,""September 17, 1963"",""April 21, 1964"",1963-64,#28,21.7%,""11,197,200""
2,30,""September 15, 1964"",""April 20, 1965"",1964-65,#5,27.9%,""14,703,300""
3,30,""September 14, 1965"",""April 26, 1966"",1965-66,#34,N/A,N/A
4,30,""September 13, 1966"",""August 29, 1967"",1966-67,#50,N/A,N/A","The viewership in millions for season 2 of ""The Fugitive"" was 14,703,300.",1121
2556,What was the viewership in millions for season 2?,"Season,Episodes,Original air dates,Original air dates,TV season,Nielsen ratings,Nielsen ratings,Nielsen ratings
Season,Episodes,Season premiere,Season finale,TV season,Rank,Rating,Viewers (millions)
1,30,""September 17, 1963"",""April 21, 1964"",1963-64,#28,21.7%,""11,197,200""
2,30,""September 15, 1964"",""April 20, 1965"",1964-65,#5,27.9%,""14,703,300""
3,30,""September 14, 1965"",""April 26, 1966"",1965-66,#34,N/A,N/A
4,30,""September 13, 1966"",""August 29, 1967"",1966-67,#50,N/A,N/A","This data is reflected in the ""Nielsen ratings"" column under the ""Viewers (millions)"" heading for the TV season 1964-65.",1121
2557,"Who is the director of the film ""Ready Player One""?","Year,Title,Role,Director,Notes
2015,Star Wars: The Force Awakens,First Order Officer #1,J.J. Abrams,-
2018,Tomb Raider,Sophie,Roar Uthaug,-
2018,Ready Player One,F'Nale Zandor,Steven Spielberg,-
2018,Ant-Man and the Wasp,Ava Starr / Ghost,Peyton Reed,-
2020,SAS: Red Notice,Dr. Sophie Hart,Magnus Martens,Post-Production","The director of the film ""Ready Player One"" is Steven Spielberg.",1122
2558,Which album won the Best Latin Album award at the Independent Music Awards in 2012?,"Year,Work,Award,Nomination,Result
2004,""Sí, soy llanero"",Grammy Awards,Best Traditional World Music Album,Nominee
2012,¡Cimarrón! Joropo music from the Plains of Colombia,Independent Music Awards,Best Latin Album,Winner
2014,Orinoco,Premios Luna del Auditorio de México,Best Traditional Music Show,Nominee","The album ""¡Cimarrón!",1123
2559,Which album won the Best Latin Album award at the Independent Music Awards in 2012?,"Year,Work,Award,Nomination,Result
2004,""Sí, soy llanero"",Grammy Awards,Best Traditional World Music Album,Nominee
2012,¡Cimarrón! Joropo music from the Plains of Colombia,Independent Music Awards,Best Latin Album,Winner
2014,Orinoco,Premios Luna del Auditorio de México,Best Traditional Music Show,Nominee","Joropo music from the Plains of Colombia"" won the Best Latin Album award at the Independent Music Awards in 2012, according to the information provided in the table.",1123
2560,"Who was the producer of ""Lose Control"" for the release in China on October 28, 2016?","Region,Date,Format,Label,Producer
South Korea,""October 28, 2016"",""CD, digital download"",SM Entertainment,Zhang Yixing
China,""October 28, 2016"",Digital download,SM Entertainment,Zhang Yixing
Various,""October 28, 2016"",Digital download,SM Entertainment,Zhang Yixing","According to the provided table, the producer of ""Lose Control"" for the release in China on October 28, 2016, was Zhang Yixing.",1124
2561,Which party won the 1932 United States presidential election in North Carolina?,"Party,Party,Candidate,Votes,%
-,Democratic,Franklin D. Roosevelt,""497,566"",69.93%
-,Republican,Herbert Hoover (inc.),""208,344"",29.28%
-,Socialist,Norman Thomas,""5,591"",0.79%
Total votes,Total votes,Total votes,""711,501"",100%",The Democratic party won the 1932 United States presidential election in North Carolina.,1125
2562,Which party won the 1932 United States presidential election in North Carolina?,"Party,Party,Candidate,Votes,%
-,Democratic,Franklin D. Roosevelt,""497,566"",69.93%
-,Republican,Herbert Hoover (inc.),""208,344"",29.28%
-,Socialist,Norman Thomas,""5,591"",0.79%
Total votes,Total votes,Total votes,""711,501"",100%",This can be determined by observing the table where the party labeled as '-' has the highest number of votes and the highest percentage of votes.,1125
2563,Which party won the 1932 United States presidential election in North Carolina?,"Party,Party,Candidate,Votes,%
-,Democratic,Franklin D. Roosevelt,""497,566"",69.93%
-,Republican,Herbert Hoover (inc.),""208,344"",29.28%
-,Socialist,Norman Thomas,""5,591"",0.79%
Total votes,Total votes,Total votes,""711,501"",100%","The table shows that the Democratic candidate, Franklin D. Roosevelt, received ""497,566"" votes, which accounts for 69.93% of the total votes.",1125
2564,Which party won the 1932 United States presidential election in North Carolina?,"Party,Party,Candidate,Votes,%
-,Democratic,Franklin D. Roosevelt,""497,566"",69.93%
-,Republican,Herbert Hoover (inc.),""208,344"",29.28%
-,Socialist,Norman Thomas,""5,591"",0.79%
Total votes,Total votes,Total votes,""711,501"",100%","In contrast, the Republican candidate, Herbert Hoover, received ""208,344"" votes, which is 29.28% of the total votes.",1125
2565,Which party won the 1932 United States presidential election in North Carolina?,"Party,Party,Candidate,Votes,%
-,Democratic,Franklin D. Roosevelt,""497,566"",69.93%
-,Republican,Herbert Hoover (inc.),""208,344"",29.28%
-,Socialist,Norman Thomas,""5,591"",0.79%
Total votes,Total votes,Total votes,""711,501"",100%",The Democratic party's victory is further highlighted by the fact that the '-' row is typically used to denote the winner in such election result tables.,1125
2566,Which party won the 1932 United States presidential election in North Carolina?,"Party,Party,Candidate,Votes,%
-,Democratic,Franklin D. Roosevelt,""497,566"",69.93%
-,Republican,Herbert Hoover (inc.),""208,344"",29.28%
-,Socialist,Norman Thomas,""5,591"",0.79%
Total votes,Total votes,Total votes,""711,501"",100%","Therefore, based on the given information, it is clear that the Democratic party won the 1932 United States presidential election in North Carolina.",1125
2567,What was the difference in votes between Jennifer Granholm and John Smietanka?,"Party,Party,Candidate,Votes,%,±
-,Democratic,Jennifer Granholm,""1,557,310"",52.09,-
-,Republican,John Smietanka,""1,432,604"",47.91,-
Majority,Majority,Majority,""124,706"",4.17,-
Turnout,Turnout,Turnout,""2,989,914"",100,-
-,Democratic hold,Democratic hold,Swing,-,-",The difference in votes between Jennifer Granholm and John Smietanka can be calculated by subtracting the number of votes received by John Smietanka from the number of votes received by Jennifer Granholm.,1126
2568,What was the difference in votes between Jennifer Granholm and John Smietanka?,"Party,Party,Candidate,Votes,%,±
-,Democratic,Jennifer Granholm,""1,557,310"",52.09,-
-,Republican,John Smietanka,""1,432,604"",47.91,-
Majority,Majority,Majority,""124,706"",4.17,-
Turnout,Turnout,Turnout,""2,989,914"",100,-
-,Democratic hold,Democratic hold,Swing,-,-","Jennifer Granholm received 1,557,310 votes
John Smietanka received 1,432,604 votes

The difference in votes = 1,557,310 - 1,432,604 = 124,706

So, the difference in votes between Jennifer Granholm and John Smietanka is 124,706.",1126
2569,"How many votes did the Republican candidate, John Smietanka, receive?","Party,Party,Candidate,Votes,%,±
-,Democratic,Jennifer Granholm,""1,557,310"",52.09,-
-,Republican,John Smietanka,""1,432,604"",47.91,-
Majority,Majority,Majority,""124,706"",4.17,-
Turnout,Turnout,Turnout,""2,989,914"",100,-
-,Democratic hold,Democratic hold,Swing,-,-","The Republican candidate, John Smietanka, received ""1,432,604"" votes according to the ""Votes"" column in the table.",1127
2570,Which award category did the song get nominated for at the Nigeria Music Video Awards (NMVA) in 2011?,"Year,Awards ceremony,Award description(s),Results
2011,The Headies,Next Rated,Nominated
2011,Channel O Music Video Awards,Most Gifted Female Video,Nominated
2011,Afrotainment Museke Online Music Awards,Best R&B Soul Song,Won
2011,Nigeria Music Video Awards (NMVA),Best Use of Choreography,Nominated","To determine the award category in which the song ""Kele Kele Love"" was nominated for at the Nigeria Music Video Awards (NMVA) in 2011, we need to analyze the ""Results"" column in the table.",1128
2571,Which award category did the song get nominated for at the Nigeria Music Video Awards (NMVA) in 2011?,"Year,Awards ceremony,Award description(s),Results
2011,The Headies,Next Rated,Nominated
2011,Channel O Music Video Awards,Most Gifted Female Video,Nominated
2011,Afrotainment Museke Online Music Awards,Best R&B Soul Song,Won
2011,Nigeria Music Video Awards (NMVA),Best Use of Choreography,Nominated","According to the table, in 2011, the song ""Kele Kele Love"" was nominated for the ""Best Use of Choreography"" award at the Nigeria Music Video Awards (NMVA).",1128
2572,What is the venue mentioned for the event where Jonathan Chimier achieved a mark of 8.05m in the Long Jump Indoor event?,"Date,Event,Venue,Time/Mark
23 February 2003,60 metres,""Moscow, Russia"",6.68 (National record)
27 March 2002,100 metres,""Bamako, Mali"",10.36
24 August 2004,Long Jump,""Athens, Greece"",8.28m (National record)
22 February 2004,Long Jump Indoor,""Aubiere, France"",8.05m (National record)
Unknown,Long Jump Juniors Mauritius,Unknown,7.89 (National record)","The venue mentioned for the event where Jonathan Chimier achieved a mark of 8.05m in the Long Jump Indoor event is ""Aubiere, France"".",1129
2573,In which venue did Lars Bender score his first goal against Denmark?,"Goal,Date,Venue,Opponent,Score,Result,Competition
1.,17 June 2012,""Arena Lviv, Lviv, Ukraine"",Denmark,2 – 1,2–1,UEFA Euro 2012
2.,29 May 2013,""FAU Stadium, Boca Raton, United States"",Ecuador,2 – 0,4–2,Friendly
3.,29 May 2013,""FAU Stadium, Boca Raton, United States"",Ecuador,3 – 0,4–2,Friendly
4.,14 August 2013,""Fritz-Walter-Stadion, Kaiserslautern, Germany"",Paraguay,3 – 3,3–3,Friendly","Lars Bender scored his first goal against Denmark at the ""Arena Lviv, Lviv, Ukraine"" on 17 June 2012 during the UEFA Euro 2012 competition.",1130
2574,Which engine model was produced for the longest period of time?,"Engine,Displacement,Power,Torque,Years
OM621 I,""1.9 L (1,897 cc)"",""37 kW (50 hp) @ 4,000 rpm"",""108 N⋅m (80 lb⋅ft) @ 2,200 rpm"",1958–1959
OM621 IV,""2.0 L (1,988 cc)"",""35 kW (47 hp) @ 3,800 rpm"",""108 N⋅m (80 lb⋅ft) @ 2,200 rpm"",1961–1962
OM621 III / VIII,""2.0 L (1,988 cc)"",""40 kW (54 hp) @ 4,200 rpm"",""118 N⋅m (87 lb⋅ft) @ 2,400 rpm"",1961–1968
OM621 III / VIII,""2.2 L (2,197 cc)"",""40 kW (54 hp) @ 3,000 rpm"",""118 N⋅m (87 lb⋅ft) @ 2,400 rpm"",1966–1988","The engine model produced for the longest period of time is the ""OM621 III / VIII"" with a displacement of either 2.0 L (1,988 cc) or 2.2 L (2,197 cc).",1131
2575,Which engine model was produced for the longest period of time?,"Engine,Displacement,Power,Torque,Years
OM621 I,""1.9 L (1,897 cc)"",""37 kW (50 hp) @ 4,000 rpm"",""108 N⋅m (80 lb⋅ft) @ 2,200 rpm"",1958–1959
OM621 IV,""2.0 L (1,988 cc)"",""35 kW (47 hp) @ 3,800 rpm"",""108 N⋅m (80 lb⋅ft) @ 2,200 rpm"",1961–1962
OM621 III / VIII,""2.0 L (1,988 cc)"",""40 kW (54 hp) @ 4,200 rpm"",""118 N⋅m (87 lb⋅ft) @ 2,400 rpm"",1961–1968
OM621 III / VIII,""2.2 L (2,197 cc)"",""40 kW (54 hp) @ 3,000 rpm"",""118 N⋅m (87 lb⋅ft) @ 2,400 rpm"",1966–1988","This engine model was produced from 1961 to 1988, making it a total production span of 27 years.",1131
2576,Which candidate received the highest number of votes in this election?,"Party,Party,Candidate,Votes,%
-,Republican,Arnold Schwarzenegger,""4,206,284"",48.6
-,Democratic,Cruz Bustamante,""2,724,874"",31.5
-,Republican,Tom McClintock,""1,161,287"",13.5
-,Green,Peter Miguel Camejo,""242,247"",2.8","Arnold Schwarzenegger, the Republican candidate, received the highest number of votes in this election with a total of 4,206,284 votes.",1132
2577,"What was the result for the ""Outstanding Single Panel Comic"" category in 2008 for ""Saturday Morning Breakfast Cereal""?","Year,Award,Work,Category,Result
2003,Web Cartoonists' Choice Awards,Saturday Morning Breakfast Cereal,Outstanding Short Form Comic,Nominated
2006,Web Cartoonists' Choice Awards,Saturday Morning Breakfast Cereal,Outstanding Single Panel Comic,Won
2007,Web Cartoonists' Choice Awards,Saturday Morning Breakfast Cereal,Outstanding Single Panel Comic,Won
2008,Web Cartoonists' Choice Awards,Saturday Morning Breakfast Cereal,Outstanding Single Panel Comic,Nominated","The result for the ""Outstanding Single Panel Comic"" category in 2008 for ""Saturday Morning Breakfast Cereal"" was ""Nominated"", according to the table provided.",1133
2578,How many Drop Tower rides have a height requirement of 48 inches (122 cm)?,"Park,Tower height,Drop height*,Speed,Model,Opened,Height requirement
Canada's Wonderland,230 feet (70 m),200 feet (61 m),62 mph (100 km/h),Giant Drop,1997,54 in (137 cm)
Carowinds,174 feet (53 m),160 feet (49 m),56 mph (90 km/h),Giant Drop,March 1996,54 in (137 cm)
California's Great America,224 feet,207 feet,62 mph,Giant Drop,March 1996,54 in (137 cm)
Kings Dominion,305 feet,272 feet,72 mph,Gyro Drop,""March 22, 2003"",48 in (122 cm)
Kings Island,315 feet,264 feet,67 mph,Gyro Drop,1999,48 in (122 cm)","To determine how many Drop Tower rides have a height requirement of 48 inches (122 cm), we can examine the ""Height requirement"" column in the given table.",1134
2579,How many Drop Tower rides have a height requirement of 48 inches (122 cm)?,"Park,Tower height,Drop height*,Speed,Model,Opened,Height requirement
Canada's Wonderland,230 feet (70 m),200 feet (61 m),62 mph (100 km/h),Giant Drop,1997,54 in (137 cm)
Carowinds,174 feet (53 m),160 feet (49 m),56 mph (90 km/h),Giant Drop,March 1996,54 in (137 cm)
California's Great America,224 feet,207 feet,62 mph,Giant Drop,March 1996,54 in (137 cm)
Kings Dominion,305 feet,272 feet,72 mph,Gyro Drop,""March 22, 2003"",48 in (122 cm)
Kings Island,315 feet,264 feet,67 mph,Gyro Drop,1999,48 in (122 cm)","Upon reviewing the table, we can see that two Drop Tower rides have a height requirement of 48 inches (122 cm):
1. Kings Dominion
2. Kings Island

Therefore, there are a total of two Drop Tower rides with a height requirement of 48 inches (122 cm).",1134
2580,How many phases are there in the construction of Zhengzhou Metro Line 1 and what are their names?,"Segment,Commencement,Length,Station(s),Name
Xiliuhu — Zhengzhou Sports Center,26 December 2013,26.34 km (16.37 mi),20,Phase 1
Henan University of Technology — Xiliuhu,12 January 2017,9.49 km (5.90 mi),7,Phase 2
Zhengzhou Sports Center — Wenyuanbeilu,12 January 2017,5.57 km (3.46 mi),2,Phase 2","According to the information provided in the table, there are two phases in the construction of Zhengzhou Metro Line 1.",1135
2581,How many phases are there in the construction of Zhengzhou Metro Line 1 and what are their names?,"Segment,Commencement,Length,Station(s),Name
Xiliuhu — Zhengzhou Sports Center,26 December 2013,26.34 km (16.37 mi),20,Phase 1
Henan University of Technology — Xiliuhu,12 January 2017,9.49 km (5.90 mi),7,Phase 2
Zhengzhou Sports Center — Wenyuanbeilu,12 January 2017,5.57 km (3.46 mi),2,Phase 2",The names of the phases are Phase 1 and Phase 2.,1135
2582,Who received the highest percentage of votes among the listed candidates?,"Party,Party,Candidate,Votes,%
-,Republican,George Herbert Walker Bush,""62,985"",44
-,Republican,Jack Cox,""45,561"",31.9
-,Republican,Robert J. Morris,""28,279"",19.8
-,Republican,Milton Davis,""6,067"",4.2",George Herbert Walker Bush received the highest percentage of votes among the listed candidates with 44%.,1136
2583,What is the total number of inhabitants for all the municipalities combined?,"Part,Incorporation,Inhabitants,Surface
Weinsberg,–,9040,13.95 km2
Gellmersbach,""January 1, 1975"",921,3.36 km2
Grantschen,""January 1, 1973"",819,2.10 km2
Wimmental,""January 1, 1975"",610,2.79 km2","To find the total number of inhabitants for all the municipalities combined, we can simply sum up the number of inhabitants for each municipality listed in the table.",1137
2584,What is the total number of inhabitants for all the municipalities combined?,"Part,Incorporation,Inhabitants,Surface
Weinsberg,–,9040,13.95 km2
Gellmersbach,""January 1, 1975"",921,3.36 km2
Grantschen,""January 1, 1973"",819,2.10 km2
Wimmental,""January 1, 1975"",610,2.79 km2","Total inhabitants = 9040 (Weinsberg) + 921 (Gellmersbach) + 819 (Grantschen) + 610 (Wimmental)
                   = 11390

Therefore, the total number of inhabitants for all the municipalities combined is 11,390.",1137
2585,How many French soldiers were killed in the Tunisian Campaign?,"Killed in Action,French,Maghrebis,Total
Tunisia Campaign (1942–43),50,72,122
Italian Campaign (1943–44),587,""1,307"",""1,894""
Campaign in Southern France (1944–45),292,599,891
German campaign (1945),52,119,171
Total (1942–1945),981 (32%),""2,097 (68%)"",""3,078""","According to the table, in the Tunisian Campaign, a total of 122 soldiers were killed in action.",1138
2586,How many French soldiers were killed in the Tunisian Campaign?,"Killed in Action,French,Maghrebis,Total
Tunisia Campaign (1942–43),50,72,122
Italian Campaign (1943–44),587,""1,307"",""1,894""
Campaign in Southern France (1944–45),292,599,891
German campaign (1945),52,119,171
Total (1942–1945),981 (32%),""2,097 (68%)"",""3,078""","To determine how many of these casualties were French soldiers, we need to refer to the ""French"" column in the table.",1138
2587,How many French soldiers were killed in the Tunisian Campaign?,"Killed in Action,French,Maghrebis,Total
Tunisia Campaign (1942–43),50,72,122
Italian Campaign (1943–44),587,""1,307"",""1,894""
Campaign in Southern France (1944–45),292,599,891
German campaign (1945),52,119,171
Total (1942–1945),981 (32%),""2,097 (68%)"",""3,078""",The table states that there were 50 French soldiers killed in action during the Tunisian Campaign.,1138
2588,Were there any releases in regions other than the United States and Switzerland?,"Region,Date,Label,Format,Catalog
United States,""November 18, 2008"",Sony BMG Norte,CD,8869739495
United States,""November 18, 2008"",Sony BMG Norte,DVD,739494
United States,""February 10, 2009"",Sony BMG Norte,CD/DVD,739496
Switzerland,""July 10, 2009"",Columbia,CD/DVD,88697433152","To determine if there were any releases in regions other than the United States and Switzerland, we need to examine the ""Region"" column in the table.",1139
2589,Were there any releases in regions other than the United States and Switzerland?,"Region,Date,Label,Format,Catalog
United States,""November 18, 2008"",Sony BMG Norte,CD,8869739495
United States,""November 18, 2008"",Sony BMG Norte,DVD,739494
United States,""February 10, 2009"",Sony BMG Norte,CD/DVD,739496
Switzerland,""July 10, 2009"",Columbia,CD/DVD,88697433152","From the table, we can see that there are two unique regions mentioned - United States and Switzerland.",1139
